# Time (s),Altitude (m),Vertical velocity (m/s),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (m),Mach number (​)
0.01,4.00E-04,0.08,2.492,0.016,1.211,2.35E-04
0.02,0.003,0.516,2.491,0.016,1.211,0.002
0.03,0.012,1.308,2.491,0.016,1.21,0.004
0.04,0.031,2.454,2.49,0.016,1.21,0.007
0.05,0.062,3.736,2.489,0.016,1.21,0.011
0.06,0.106,5.002,2.487,0.016,1.21,0.015
0.07,0.162,6.254,2.486,0.016,1.209,0.018
0.08,0.231,7.49,2.485,0.016,1.209,0.022
0.09,0.312,8.71,2.483,0.016,1.209,0.026
0.1,0.405,9.916,2.482,0.016,1.208,0.029
0.11,0.51,11.106,2.481,0.016,1.208,0.033
0.12,0.627,12.28,2.479,0.016,1.208,0.036
0.13,0.756,13.442,2.478,0.016,1.207,0.039
0.14,0.896,14.591,2.477,0.016,1.207,0.043
0.15,1.047,15.729,2.476,0.016,1.207,0.046
0.16,1.21,16.855,2.474,0.016,1.207,0.05
0.17,1.385,17.97,2.473,0.016,1.206,0.053
0.18,1.57,19.072,2.472,0.016,1.206,0.056
0.19,1.766,20.163,2.471,0.016,1.206,0.059
0.2,1.973,21.242,2.469,0.016,1.205,0.062
0.21,2.191,22.311,2.468,0.016,1.205,0.066
0.22,2.419,23.371,2.467,0.016,1.205,0.069
0.23,2.658,24.422,2.466,0.016,1.204,0.072
0.24,2.908,25.465,2.465,0.016,1.204,0.075
0.25,3.167,26.499,2.464,0.016,1.204,0.078
0.26,3.437,27.524,2.463,0.016,1.204,0.081
0.27,3.718,28.54,2.461,0.016,1.203,0.084
0.28,4.008,29.547,2.46,0.016,1.203,0.087
0.29,4.309,30.546,2.459,0.016,1.203,0.09
0.3,4.619,31.535,2.458,0.016,1.203,0.093
0.31,4.939,32.516,2.457,0.016,1.202,0.096
0.32,5.269,33.487,2.456,0.016,1.202,0.098
0.335,5.782,34.928,2.454,0.016,1.202,0.103
0.358,6.592,37.052,2.452,0.016,1.201,0.109
0.391,7.895,40.164,2.448,0.016,1.2,0.118
