# Time (s),Altitude (m),Total velocity (m/s),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (m),Mach number (​)
0,0,0,2.1881,0.010034,1.032,0
0.01,7.89E-04,0.15784,2.1881,0.010034,1.032,4.64E-04
0.02,0.0057157,0.82754,2.1868,0.010033,1.0317,0.0024312
0.03,0.019901,2.0096,2.1855,0.010032,1.0313,0.005904
0.04,0.048459,3.7021,2.1842,0.010032,1.031,0.010876
0.05,0.094916,5.5896,2.1823,0.010031,1.0305,0.016421
0.06,0.16014,7.4556,2.1799,0.01003,1.0298,0.021903
0.07,0.24392,9.3003,2.1775,0.010029,1.0292,0.027323
0.08,0.34604,11.124,2.1751,0.010028,1.0286,0.032679
0.09,0.46628,12.925,2.1726,0.010027,1.0279,0.037972
0.1,0.60443,14.705,2.1702,0.010026,1.0273,0.043201
0.11,0.76027,16.464,2.1678,0.010025,1.0266,0.048367
0.11911,0.91748,18.047,2.1654,0.010024,1.026,0.053018
0.12742,1.0734,19.477,2.1634,0.010023,1.0255,0.05722
0.13512,1.2285,20.792,2.1616,0.010022,1.025,0.061084
0.14234,1.3829,22.015,2.1599,0.010021,1.0246,0.064677
0.14915,1.5368,23.162,2.1584,0.010021,1.0242,0.068048
0.15937,1.7823,24.869,2.1564,0.01002,1.0237,0.073063
0.1747,2.1829,27.397,2.1536,0.010019,1.0229,0.08049
0.1977,2.8557,31.116,2.1492,0.010017,1.0218,0.091415
0.23219,4.0228,36.551,2.143,0.010014,1.0201,0.10739
0.28219,6.0409,44.168,2.1341,0.01001,1.0177,0.12977
0.33219,8.4315,51.459,2.1238,0.010006,1.015,0.15119
0.38219,11.179,58.434,2.1138,0.010002,1.0124,0.17169
0.43219,14.269,65.162,2.1042,0.0099981,1.0098,0.19147
0.48219,17.688,71.628,2.0948,0.0099943,1.0074,0.21047
0.53219,21.424,77.783,2.0858,0.0099906,1.005,0.22857
0.58219,25.459,83.653,2.0771,0.0099871,1.0027,0.24583
0.63219,29.782,89.261,2.0688,0.0099838,1.0005,0.26232
0.68219,34.38,94.661,2.0606,0.0099806,0.99832,0.27821
0.73219,39.243,99.84,2.0527,0.0099775,0.99623,0.29344
0.78219,44.359,104.8,2.0451,0.0099745,0.99422,0.30804
0.83219,49.72,109.66,2.0376,0.0099716,0.99223,0.32235
0.88219,55.322,114.42,2.0303,0.0099687,0.99028,0.33637
0.93219,61.159,119.02,2.023,0.0099659,0.98836,0.34992
0.98219,67.221,123.48,2.0159,0.0099632,0.98648,0.36305
1.0322,73.503,127.79,2.009,0.0099606,0.98465,0.37576
1.0822,79.994,131.86,2.0023,0.009958,0.98286,0.38773
1.1322,86.684,135.72,1.9958,0.0099556,0.98114,0.39913
1.1822,93.563,139.45,1.9896,0.0099532,0.97948,0.41014
1.2322,100.63,143,1.9835,0.0099509,0.97786,0.42061
1.2822,107.86,146.27,1.9777,0.0099488,0.97634,0.43024
1.3322,115.24,149,1.9724,0.0099468,0.97493,0.43833
1.3822,122.75,151.29,1.9677,0.0099451,0.97368,0.4451
1.4322,130.36,153.21,1.9636,0.0099436,0.97258,0.45079
1.4822,138.06,154.9,1.9598,0.0099422,0.97157,0.45578
1.5322,145.84,156.29,1.9564,0.009941,0.97068,0.45993
1.5822,153.68,157.29,1.9535,0.0099399,0.9699,0.46292
1.6322,161.56,158.02,1.9509,0.009939,0.96922,0.46511
1.6822,169.48,158.52,1.9488,0.0099382,0.96865,0.46663
1.7322,177.41,158.83,1.9468,0.0099375,0.96814,0.46758
1.7822,185.36,159.02,1.9451,0.0099369,0.96768,0.46818
1.8322,193.31,159.12,1.9437,0.0099363,0.96729,0.46852
1.8822,201.26,158.99,1.9423,0.0099358,0.96694,0.46819
1.9322,209.2,158.65,1.9413,0.0099355,0.96667,0.46722
1.9822,217.13,158.16,1.9406,0.0099352,0.96647,0.46583
2.0322,225.02,157.45,1.9401,0.009935,0.96634,0.46377
2.0822,232.86,156.52,1.9399,0.009935,0.96628,0.46106
2.1322,240.67,155.57,1.9398,0.0099349,0.96627,0.45832
2.1822,248.42,154.63,1.9398,0.0099349,0.96627,0.45559
2.2322,256.13,153.7,1.9398,0.0099349,0.96627,0.45288
2.2822,263.79,152.77,1.9398,0.0099349,0.96627,0.45018
2.3322,271.41,151.85,1.9398,0.0099349,0.96627,0.4475
2.3822,278.98,150.93,1.9398,0.0099349,0.96627,0.44484
2.4322,286.5,150.02,1.9398,0.0099349,0.96627,0.4422
2.4822,293.98,149.12,1.9398,0.0099349,0.96627,0.43957
2.5322,301.41,148.22,1.9398,0.0099349,0.96627,0.43696
2.5822,308.8,147.32,1.9398,0.0099349,0.96627,0.43436
2.6322,316.14,146.44,1.9398,0.0099349,0.96627,0.43178
2.6822,323.44,145.55,1.9398,0.0099349,0.96627,0.42921
2.7322,330.7,144.68,1.9398,0.0099349,0.96627,0.42666
2.7822,337.91,143.8,1.9398,0.0099349,0.96627,0.42413
2.8322,345.08,142.94,1.9398,0.0099349,0.96627,0.42161
2.8822,352.21,142.08,1.9398,0.0099349,0.96627,0.4191
2.9322,359.29,141.22,1.9398,0.0099349,0.96627,0.41661
2.9822,366.33,140.37,1.9398,0.0099349,0.96627,0.41413
3.0322,373.32,139.52,1.9398,0.0099349,0.96627,0.41166
3.0822,380.28,138.68,1.9398,0.0099349,0.96627,0.40921
3.1322,387.19,137.84,1.9398,0.0099349,0.96627,0.40677
3.1822,394.06,137.01,1.9398,0.0099349,0.96627,0.40435
3.2322,400.89,136.18,1.9398,0.0099349,0.96627,0.40193
3.2822,407.68,135.36,1.9398,0.0099349,0.96627,0.39953
3.3322,414.43,134.54,1.9398,0.0099349,0.96627,0.39715
3.3822,421.14,133.72,1.9398,0.0099349,0.96627,0.39477
3.4322,427.8,132.91,1.9398,0.0099349,0.96627,0.39241
3.4822,434.43,132.1,1.9398,0.0099349,0.96627,0.39006
3.5322,441.01,131.3,1.9398,0.0099349,0.96627,0.38772
3.5822,447.56,130.5,1.9398,0.0099349,0.96627,0.38539
3.6322,454.06,129.71,1.9398,0.0099349,0.96627,0.38308
3.6822,460.53,128.92,1.9398,0.0099349,0.96627,0.38078
3.7322,466.95,128.14,1.9398,0.0099349,0.96627,0.37848
3.7822,473.34,127.35,1.9398,0.0099349,0.96627,0.3762
3.8322,479.69,126.58,1.9398,0.0099349,0.96627,0.37393
3.8822,486,125.8,1.9398,0.0099349,0.96627,0.37167
3.9322,492.27,125.03,1.9398,0.0099349,0.96627,0.36942
3.9822,498.5,124.26,1.9398,0.0099349,0.96627,0.36718
4.0322,504.7,123.5,1.9398,0.0099349,0.96627,0.36495
4.0822,510.85,122.74,1.9398,0.0099349,0.96627,0.36274
4.1322,516.97,121.99,1.9398,0.0099349,0.96627,0.36053
4.1822,523.05,121.23,1.9398,0.0099349,0.96627,0.35833
4.2322,529.09,120.48,1.9398,0.0099349,0.96627,0.35614
4.2822,535.1,119.74,1.9398,0.0099349,0.96627,0.35396
4.3322,541.07,119,1.9398,0.0099349,0.96627,0.35179
4.3822,547,118.26,1.9398,0.0099349,0.96627,0.34964
4.4322,552.89,117.52,1.9398,0.0099349,0.96627,0.34748
4.4822,558.75,116.79,1.9398,0.0099349,0.96627,0.34534
4.5322,564.57,116.06,1.9398,0.0099349,0.96627,0.34321
4.5822,570.36,115.34,1.9398,0.0099349,0.96627,0.34109
4.6322,576.11,114.61,1.9398,0.0099349,0.96627,0.33897
4.6822,581.82,113.89,1.9398,0.0099349,0.96627,0.33687
4.7322,587.5,113.18,1.9398,0.0099349,0.96627,0.33477
4.7822,593.14,112.46,1.9398,0.0099349,0.96627,0.33268
4.8322,598.74,111.75,1.9398,0.0099349,0.96627,0.3306
4.8822,604.31,111.05,1.9398,0.0099349,0.96627,0.32853
4.9322,609.85,110.34,1.9398,0.0099349,0.96627,0.32647
4.9822,615.35,109.64,1.9398,0.0099349,0.96627,0.32441
5.0322,620.81,108.94,1.9398,0.0099349,0.96627,0.32237
5.0822,626.24,108.25,1.9398,0.0099349,0.96627,0.32033
5.1322,631.64,107.55,1.9398,0.0099349,0.96627,0.3183
5.1822,637,106.86,1.9398,0.0099349,0.96627,0.31627
5.2322,642.32,106.17,1.9398,0.0099349,0.96627,0.31426
5.2822,647.61,105.49,1.9398,0.0099349,0.96627,0.31225
5.3322,652.87,104.81,1.9398,0.0099349,0.96627,0.31025
5.3822,658.1,104.13,1.9398,0.0099349,0.96627,0.30825
5.4322,663.28,103.45,1.9398,0.0099349,0.96627,0.30627
5.4822,668.44,102.78,1.9398,0.0099349,0.96627,0.30429
5.5322,673.56,102.1,1.9398,0.0099349,0.96627,0.30232
5.5822,678.65,101.43,1.9398,0.0099349,0.96627,0.30035
5.6322,683.71,100.77,1.9398,0.0099349,0.96627,0.29839
5.6822,688.73,100.1,1.9398,0.0099349,0.96627,0.29644
5.7322,693.72,99.439,1.9398,0.0099349,0.96627,0.2945
5.7822,698.67,98.779,1.9398,0.0099349,0.96627,0.29256
5.8322,703.59,98.121,1.9398,0.0099349,0.96627,0.29063
5.8822,708.48,97.466,1.9398,0.0099349,0.96627,0.2887
5.9322,713.34,96.813,1.9398,0.0099349,0.96627,0.28678
5.9822,718.16,96.162,1.9398,0.0099349,0.96627,0.28487
6.0322,722.96,95.513,1.9398,0.0099349,0.96627,0.28297
6.0822,727.72,94.867,1.9398,0.0099349,0.96627,0.28107
6.1322,732.44,94.223,1.9398,0.0099349,0.96627,0.27917
6.1822,737.14,93.581,1.9398,0.0099349,0.96627,0.27729
6.2322,741.8,92.941,1.9398,0.0099349,0.96627,0.27541
6.2822,746.43,92.303,1.9398,0.0099349,0.96627,0.27353
6.3322,751.03,91.667,1.9398,0.0099349,0.96627,0.27166
6.3822,755.6,91.034,1.9398,0.0099349,0.96627,0.2698
6.4322,760.13,90.402,1.9398,0.0099349,0.96627,0.26794
6.4822,764.64,89.772,1.9398,0.0099349,0.96627,0.26609
6.5322,769.11,89.145,1.9398,0.0099349,0.96627,0.26424
6.5822,773.55,88.519,1.9398,0.0099349,0.96627,0.2624
6.6322,777.96,87.896,1.9398,0.0099349,0.96627,0.26057
6.6822,782.34,87.274,1.9398,0.0099349,0.96627,0.25874
6.7322,786.69,86.654,1.9398,0.0099349,0.96627,0.25691
6.7822,791.01,86.036,1.9398,0.0099349,0.96627,0.25509
6.8322,795.29,85.42,1.9398,0.0099349,0.96627,0.25328
6.8822,799.55,84.806,1.9398,0.0099349,0.96627,0.25147
6.9322,803.78,84.193,1.9398,0.0099349,0.96627,0.24967
6.9822,807.97,83.583,1.9398,0.0099349,0.96627,0.24787
7.0322,812.13,82.974,1.9398,0.0099349,0.96627,0.24608
7.0822,816.27,82.367,1.9398,0.0099349,0.96627,0.24429
7.1322,820.37,81.762,1.9398,0.0099349,0.96627,0.2425
7.1822,824.44,81.158,1.9398,0.0099349,0.96627,0.24072
7.2322,828.49,80.556,1.9398,0.0099349,0.96627,0.23895
7.2822,832.5,79.956,1.9398,0.0099349,0.96627,0.23718
7.3322,836.48,79.357,1.9398,0.0099349,0.96627,0.23542
7.3822,840.43,78.76,1.9398,0.0099349,0.96627,0.23366
7.4322,844.36,78.165,1.9398,0.0099349,0.96627,0.2319
7.4822,848.25,77.572,1.9398,0.0099349,0.96627,0.23015
7.5322,852.12,76.979,1.9398,0.0099349,0.96627,0.2284
7.5822,855.95,76.389,1.9398,0.0099349,0.96627,0.22666
7.6322,859.75,75.8,1.9398,0.0099349,0.96627,0.22492
7.6822,863.53,75.213,1.9398,0.0099349,0.96627,0.22319
7.7322,867.28,74.627,1.9398,0.0099349,0.96627,0.22146
7.7822,870.99,74.042,1.9398,0.0099349,0.96627,0.21974
7.8322,874.68,73.459,1.9398,0.0099349,0.96627,0.21802
7.8822,878.34,72.878,1.9398,0.0099349,0.96627,0.2163
7.9322,881.97,72.298,1.9398,0.0099349,0.96627,0.21459
7.9822,885.57,71.72,1.9398,0.0099349,0.96627,0.21288
8.0322,889.14,71.142,1.9398,0.0099349,0.96627,0.21118
8.0822,892.68,70.567,1.9398,0.0099349,0.96627,0.20948
8.1322,896.2,69.992,1.9398,0.0099349,0.96627,0.20778
8.1822,899.68,69.42,1.9398,0.0099349,0.96627,0.20609
8.2322,903.14,68.848,1.9398,0.0099349,0.96627,0.2044
8.2822,906.57,68.278,1.9398,0.0099349,0.96627,0.20271
8.3322,909.97,67.709,1.9398,0.0099349,0.96627,0.20103
8.3822,913.34,67.141,1.9398,0.0099349,0.96627,0.19936
8.4322,916.68,66.575,1.9398,0.0099349,0.96627,0.19768
8.4822,919.99,66.01,1.9398,0.0099349,0.96627,0.19601
8.5322,923.28,65.446,1.9398,0.0099349,0.96627,0.19435
8.5822,926.54,64.884,1.9398,0.0099349,0.96627,0.19268
8.6322,929.77,64.323,1.9398,0.0099349,0.96627,0.19102
8.6822,932.97,63.762,1.9398,0.0099349,0.96627,0.18937
8.7322,936.15,63.204,1.9398,0.0099349,0.96627,0.18771
8.7822,939.29,62.646,1.9398,0.0099349,0.96627,0.18607
8.8322,942.41,62.09,1.9398,0.0099349,0.96627,0.18442
8.8822,945.5,61.534,1.9398,0.0099349,0.96627,0.18278
8.9322,948.56,60.98,1.9398,0.0099349,0.96627,0.18114
8.9822,951.6,60.427,1.9398,0.0099349,0.96627,0.1795
9.0322,954.61,59.876,1.9398,0.0099349,0.96627,0.17787
9.0822,957.59,59.325,1.9398,0.0099349,0.96627,0.17624
9.1322,960.54,58.775,1.9398,0.0099349,0.96627,0.17461
9.1822,963.46,58.227,1.9398,0.0099349,0.96627,0.17299
9.2322,966.36,57.68,1.9398,0.0099349,0.96627,0.17137
9.2822,969.23,57.133,1.9398,0.0099349,0.96627,0.16975
9.3322,972.08,56.588,1.9398,0.0099349,0.96627,0.16814
9.3822,974.89,56.044,1.9398,0.0099349,0.96627,0.16652
9.4322,977.68,55.5,1.9398,0.0099349,0.96627,0.16492
9.4822,980.44,54.958,1.9398,0.0099349,0.96627,0.16331
9.5322,983.18,54.417,1.9398,0.0099349,0.96627,0.16171
9.5822,985.88,53.877,1.9398,0.0099349,0.96627,0.16011
9.6322,988.56,53.338,1.9398,0.0099349,0.96627,0.15851
9.6822,991.22,52.8,1.9398,0.0099349,0.96627,0.15692
9.7322,993.84,52.262,1.9398,0.0099349,0.96627,0.15532
9.7822,996.44,51.726,1.9398,0.0099349,0.96627,0.15373
9.8322,999.02,51.191,1.9398,0.0099349,0.96627,0.15215
9.8822,1001.6,50.656,1.9398,0.0099349,0.96627,0.15056
9.9322,1004.1,50.123,1.9398,0.0099349,0.96627,0.14898
9.9822,1006.6,49.59,1.9398,0.0099349,0.96627,0.1474
10.032,1009,49.058,1.9398,0.0099349,0.96627,0.14583
10.082,1011.5,48.527,1.9398,0.0099349,0.96627,0.14425
10.132,1013.9,47.997,1.9398,0.0099349,0.96627,0.14268
10.182,1016.3,47.468,1.9398,0.0099349,0.96627,0.14111
10.232,1018.6,46.94,1.9398,0.0099349,0.96627,0.13955
10.282,1021,46.413,1.9398,0.0099349,0.96627,0.13798
10.332,1023.3,45.886,1.9398,0.0099349,0.96627,0.13642
10.382,1025.6,45.36,1.9398,0.0099349,0.96627,0.13486
10.432,1027.8,44.835,1.9398,0.0099349,0.96627,0.1333
10.482,1030,44.311,1.9398,0.0099349,0.96627,0.13175
10.532,1032.2,43.788,1.9398,0.0099349,0.96627,0.13019
10.582,1034.4,43.265,1.9398,0.0099349,0.96627,0.12864
10.632,1036.6,42.743,1.9398,0.0099349,0.96627,0.1271
10.682,1038.7,42.222,1.9398,0.0099349,0.96627,0.12555
10.732,1040.8,41.702,1.9398,0.0099349,0.96627,0.12401
10.782,1042.9,41.182,1.9398,0.0099349,0.96627,0.12246
10.832,1044.9,40.663,1.9398,0.0099349,0.96627,0.12092
10.882,1046.9,40.145,1.9398,0.0099349,0.96627,0.11938
10.932,1048.9,39.627,1.9398,0.0099349,0.96627,0.11785
10.982,1050.9,39.111,1.9398,0.0099349,0.96627,0.11631
11.032,1052.8,38.594,1.9398,0.0099349,0.96627,0.11478
11.082,1054.8,38.079,1.9398,0.0099349,0.96627,0.11325
11.132,1056.6,37.564,1.9398,0.0099349,0.96627,0.11172
11.182,1058.5,37.05,1.9398,0.0099349,0.96627,0.1102
11.232,1060.4,36.537,1.9398,0.0099349,0.96627,0.10867
11.282,1062.2,36.024,1.9398,0.0099349,0.96627,0.10715
11.332,1064,35.512,1.9398,0.0099349,0.96627,0.10563
11.382,1065.7,35,1.9398,0.0099349,0.96627,0.10411
11.432,1067.5,34.489,1.9398,0.0099349,0.96627,0.10259
11.482,1069.2,33.979,1.9398,0.0099349,0.96627,0.10107
11.532,1070.9,33.469,1.9398,0.0099349,0.96627,0.09956
11.582,1072.5,32.96,1.9398,0.0099349,0.96627,0.098047
11.632,1074.1,32.451,1.9398,0.0099349,0.96627,0.096536
