# Time (s),Altitude (m),Vertical velocity (m/s),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (cm),Mach number (​),Air pressure (mbar)
0.01,3.302e-4,0.066,8977.402,3.296,0.015,114.956,0.01,1002.225
0.02,0.003,0.461,8974.355,3.295,0.015,114.937,0.01,1002.225
0.03,0.011,1.184,8971.308,3.294,0.015,114.918,0.01,1002.224
0.04,0.028,2.234,8967.985,3.293,0.015,114.897,0.012,1002.222
0.05,0.056,3.41,8962.175,3.291,0.015,114.86,0.014,1002.219
0.06,0.096,4.571,8956.365,3.289,0.015,114.824,0.017,1002.214
0.07,0.148,5.718,8950.554,3.287,0.015,114.787,0.02,1002.208
0.08,0.211,6.851,8944.744,3.285,0.015,114.75,0.022,1002.201
0.09,0.285,7.97,8938.934,3.283,0.015,114.714,0.025,1002.192
0.1,0.37,9.074,8933.124,3.281,0.015,114.677,0.029,1002.182
0.11,0.466,10.165,8927.313,3.279,0.015,114.64,0.032,1002.171
0.12,0.571,11.223,8921.639,3.277,0.015,114.604,0.034,1002.158
0.129,0.676,12.172,8916.908,3.276,0.015,114.574,0.037,1002.146
0.137,0.779,13.039,8912.546,3.274,0.015,114.546,0.04,1002.134
0.145,0.882,13.841,8908.474,3.273,0.015,114.52,0.042,1002.122
0.152,0.985,14.591,8904.638,3.271,0.015,114.496,0.044,1002.11
0.159,1.087,15.298,8900.999,3.27,0.015,114.473,0.046,1002.098
0.169,1.25,16.348,8895.54,3.268,0.015,114.438,0.049,1002.079
0.184,1.514,17.902,8887.353,3.265,0.015,114.386,0.054,1002.048
0.208,1.955,20.186,8875.395,3.261,0.015,114.309,0.06,1001.996
0.242,2.713,23.526,8858.286,3.255,0.015,114.199,0.07,1001.907
0.292,4.005,28.169,8834.062,3.247,0.015,114.043,0.083,1001.756
0.342,5.525,32.6,8811.037,3.239,0.015,113.893,0.096,1001.577
0.392,7.26,36.834,8788.929,3.231,0.015,113.749,0.109,1001.374
0.442,9.204,40.915,8767.358,3.224,0.015,113.607,0.121,1001.146
0.492,11.347,44.819,8747.108,3.217,0.015,113.474,0.132,1000.895
0.542,13.681,48.528,8727.461,3.21,0.015,113.344,0.143,1000.621
0.592,16.196,52.06,8708.628,3.203,0.015,113.219,0.153,1000.326
0.642,18.883,55.435,8690.712,3.197,0.015,113.099,0.163,1000.011
0.692,21.736,58.681,8673.227,3.19,0.015,112.982,0.173,999.676
0.742,24.748,61.787,8656.555,3.184,0.015,112.869,0.182,999.323
0.792,27.912,64.767,8640.301,3.179,0.015,112.76,0.191,998.952
0.842,31.223,67.698,8624.321,3.173,0.015,112.651,0.199,998.563
0.892,34.68,70.559,8608.85,3.167,0.015,112.546,0.208,998.158
0.942,38.277,73.317,8593.633,3.162,0.015,112.442,0.216,997.736
0.992,42.009,75.994,8578.827,3.156,0.015,112.341,0.224,997.298
1.042,45.873,78.567,8564.669,3.151,0.015,112.243,0.231,996.845
1.092,49.862,80.98,8550.848,3.146,0.015,112.148,0.238,996.377
1.142,53.969,83.283,8537.735,3.141,0.015,112.057,0.245,995.896
1.192,58.188,85.494,8525.003,3.136,0.015,111.969,0.252,995.401
1.242,62.515,87.58,8512.589,3.132,0.015,111.882,0.258,994.893
1.292,66.941,89.443,8501.672,3.128,0.015,111.806,0.263,994.374
1.342,71.451,90.962,8491.541,3.124,0.015,111.735,0.268,993.845
1.392,76.03,92.201,8482.791,3.121,0.015,111.674,0.272,993.308
1.442,80.665,93.2,8475.002,3.118,0.015,111.619,0.275,992.765
1.492,85.346,94.028,8467.719,3.115,0.015,111.568,0.277,992.216
1.541,89.976,94.603,8461.762,3.113,0.015,111.526,0.279,991.673
1.584,93.989,94.871,8457.059,3.111,0.015,111.492,0.28,991.202
1.621,97.51,94.965,8453.594,3.11,0.015,111.468,0.281,990.789
1.653,100.605,94.94,8450.652,3.109,0.015,111.447,0.281,990.426
1.682,103.348,94.832,8448.497,3.108,0.015,111.432,0.281,990.104
1.708,105.828,94.664,8446.544,3.107,0.015,111.418,0.28,989.813
1.732,108.087,94.447,8444.801,3.106,0.015,111.406,0.28,989.549
1.754,110.153,94.197,8443.418,3.106,0.015,111.396,0.28,989.306
1.775,112.06,93.926,8442.137,3.105,0.015,111.387,0.279,989.083
1.793,113.837,93.633,8440.94,3.105,0.015,111.378,0.278,988.874
1.811,115.5,93.322,8439.849,3.104,0.015,111.37,0.278,988.679
1.827,116.953,93.017,8439.09,3.104,0.015,111.365,0.277,988.509
1.841,118.223,92.719,8438.425,3.104,0.015,111.36,0.277,988.36
1.853,119.359,92.427,8437.828,3.104,0.015,111.356,0.276,988.227
1.864,120.391,92.14,8437.284,3.103,0.015,111.352,0.275,988.106
1.874,121.336,91.857,8436.785,3.103,0.015,111.349,0.275,987.995
1.884,122.209,91.577,8436.322,3.103,0.015,111.345,0.274,987.892
1.893,123.023,91.3,8435.936,3.103,0.015,111.343,0.273,987.797
1.901,123.787,91.026,8435.679,3.103,0.015,111.341,0.273,987.707
1.909,124.508,90.756,8435.436,3.103,0.015,111.339,0.272,987.623
1.917,125.189,90.488,8435.205,3.103,0.015,111.338,0.272,987.543
1.924,125.837,90.222,8434.985,3.103,0.015,111.336,0.271,987.467
1.931,126.454,89.957,8434.775,3.103,0.015,111.334,0.27,987.394
1.937,127.044,89.694,8434.573,3.102,0.015,111.333,0.27,987.325
1.943,127.61,89.432,8434.379,3.102,0.015,111.332,0.269,987.259
1.949,128.154,89.17,8434.192,3.102,0.015,111.33,0.268,987.195
