Time,Ref qz,Ref qy,Ref qx,Ref qw,Ref roll,Ref pitch,Ref yaw,Aptos roll,Aptos pitch,Aptos yaw,Aptos qz,Aptos qy,Aptos qx,Aptos qw,,,,,,,
0,0.001,-0.00853,0.010899,0.020122044,0.033688646,0.018082673,0.020027451,-0.017,0.013,0,0.010076622,-0.006051637,0.009084244,-0.046145119,,,,,,,
0.051595947,0.001,-0.0095,0.010892,0.020123484,0.033688646,0.018082673,0.02002294,-0.018,0.013,0,0.009006946,-0.006003676,0.009072139,-0.046065912,,,,,,,
0.061578857,0.001,-0.009551,0.011216,0.020119492,-0.023109948,0.018082673,0.020030996,-0.018,0.013,0,0.008074915,-0.006008779,0.009058246,-0.055931224,,,,,,,
0.071578857,0.001,-0.009579,0.011113,0.020113716,-0.023110716,0.01808417,0.020025318,-0.018,0.013,0,0.008031289,-0.006015899,0.009005994,-0.065691053,,,,,,,
0.081578857,0.001,-0.009544,0.010923,0.020120706,-0.02287152,0.01784957,0.020027556,-0.018,0.013,0,0.007063142,-0.006039197,0.009083683,-0.065856508,,,,,,,
0.091578857,0.001,-0.00962,0.010899,0.020118,-0.022916635,0.017896149,0.020023035,-0.018,0.013,0,0.006042355,-0.006020721,0.009089287,-0.069511936,,,,,,,
0.101578857,0.001,-0.009703,0.010961,0.020110594,-0.023144677,0.017933451,0.019989608,-0.018,0.013,0,0.006008427,-0.006015319,0.009000903,-0.069726776,,,,,,,
0.11158667,0.001,-0.009985,0.010892,0.020113681,-0.023146104,0.018377271,0.019960888,-0.019,0.013,0,0.005025344,-0.006018532,0.009007754,-0.069984375,,,,,,,
0.121578857,0.001,-0.010127,0.010932,0.020110952,-0.023348058,0.018527115,0.019936558,-0.019,0.013,0,0.004031411,-0.006012214,0.009012411,-0.068946703,,,,,,,
0.131578857,0.001,-0.010237,0.010864,0.020104753,-0.023312699,0.018653072,0.019928863,-0.019,0.013,0,0.004015236,-0.006038557,0.009017339,-0.06950765,,,,,,,
0.141580322,0.001,-0.010531,0.010893,0.02012123,-0.023489188,0.019147642,0.019907735,-0.019,0.013,0,0.00402539,-0.006023812,0.009021159,-0.069469905,,,,,,,
0.151578857,0.003,-0.010595,0.011033,0.020115502,-0.023863913,0.019146258,0.01991665,-0.019,0.013,0,0.00301294,-0.006040705,0.009085035,-0.069348091,,,,,,,
0.161583496,0.003,-0.010633,0.011035,0.020109411,-0.023937808,0.019142911,0.019902475,-0.018,0.013,0,0.003011497,-0.006030123,0.009055942,-0.059352894,,,,,,,
0.171578857,0.003,-0.010547,0.01104,0.020087007,-0.023992512,0.018893976,0.019902788,-0.019,0.013,0,0.003012508,-0.006046628,0.009074317,-0.069151932,,,,,,,
0.181578857,0.002,-0.010468,0.010902,0.020087585,-0.023763893,0.018685326,0.019909095,-0.019,0.013,0,0.002008828,-0.006051736,0.009001559,-0.06920752,,,,,,,
0.191578857,0.002,-0.010443,0.010921,0.020074384,-0.023856981,0.018554669,0.019908944,-0.019,0.012,0,0.002011534,-0.006049302,0.009023189,-0.068925181,,,,,,,
