# Time (s),Altitude (m),Vertical velocity (m/s),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (m),Mach number (​)
0.002,-1.21E-05,-0.012,2.842,0.013,1.234,3.55E-05
0.004,2.92E-06,0.003,2.842,0.013,1.234,8.58E-06
0.006,2.67E-05,0.021,2.842,0.013,1.234,6.13E-05
0.008,1.01E-04,0.054,2.841,0.013,1.234,1.58E-04
0.01,2.57E-04,0.102,2.841,0.013,1.234,2.99E-04
0.012,5.23E-04,0.165,2.841,0.013,1.234,4.84E-04
0.014,9.31E-04,0.243,2.841,0.013,1.234,7.13E-04
0.016,0.002,0.336,2.841,0.013,1.234,9.86E-04
0.018,0.002,0.444,2.841,0.013,1.234,0.001
0.02,0.003,0.567,2.84,0.013,1.234,0.002
0.022,0.005,0.705,2.84,0.013,1.234,0.002
0.024,0.006,0.858,2.84,0.013,1.234,0.003
0.026,0.008,1.026,2.84,0.013,1.234,0.003
0.028,0.01,1.209,2.84,0.013,1.234,0.004
0.03,0.013,1.407,2.84,0.013,1.234,0.004
0.032,0.016,1.621,2.84,0.013,1.234,0.005
0.034,0.019,1.849,2.839,0.013,1.234,0.005
0.036,0.023,2.092,2.839,0.013,1.234,0.006
0.038,0.028,2.351,2.839,0.013,1.234,0.007
0.04,0.033,2.622,2.839,0.013,1.234,0.008
0.042,0.038,2.895,2.839,0.013,1.234,0.009
0.044,0.044,3.167,2.838,0.013,1.233,0.009
0.046,0.051,3.438,2.838,0.013,1.233,0.01
0.048,0.058,3.709,2.838,0.013,1.233,0.011
0.05,0.066,3.979,2.837,0.013,1.233,0.012
0.052,0.074,4.249,2.837,0.013,1.233,0.012
0.054,0.083,4.518,2.837,0.013,1.233,0.013
0.056,0.092,4.786,2.837,0.013,1.233,0.014
0.058,0.102,5.054,2.836,0.013,1.233,0.015
0.06,0.112,5.321,2.836,0.013,1.233,0.016
0.062,0.123,5.587,2.836,0.013,1.233,0.016
0.064,0.135,5.853,2.835,0.013,1.233,0.017
