# Time (s),Altitude (m),Vertical velocity (m/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (m),Mach number (​),Air pressure (mbar)
0.01,3.45E-04,0.069,8.833,3.181,0.017,1.327,0.014,1002.225
0.02,0.003,0.472,8.83,3.18,0.017,1.326,0.014,1002.225
0.03,0.011,1.209,8.827,3.179,0.017,1.326,0.015,1002.224
0.04,0.029,2.278,8.824,3.179,0.017,1.326,0.016,1002.222
0.05,0.058,3.475,8.818,3.177,0.017,1.326,0.018,1002.219
0.06,0.098,4.657,8.812,3.175,0.017,1.325,0.02,1002.214
0.07,0.151,5.825,8.806,3.174,0.017,1.325,0.022,1002.208
0.08,0.215,6.978,8.8,3.172,0.017,1.325,0.025,1002.201
0.09,0.29,8.117,8.795,3.17,0.017,1.324,0.028,1002.192
0.1,0.377,9.241,8.789,3.169,0.017,1.324,0.031,1002.182
0.11,0.475,10.351,8.783,3.167,0.017,1.324,0.034,1002.171
0.12,0.584,11.446,8.777,3.165,0.017,1.323,0.036,1002.158
0.13,0.704,12.529,8.772,3.164,0.017,1.323,0.039,1002.146
0.14,0.834,13.601,8.767,3.162,0.017,1.323,0.042,1002.134
0.15,0.976,14.662,8.761,3.161,0.017,1.322,0.045,1002.122
0.16,1.128,15.712,8.756,3.159,0.017,1.322,0.048,1002.11
0.17,1.29,16.75,8.751,3.158,0.017,1.322,0.051,1002.098
0.18,1.463,17.778,8.745,3.156,0.017,1.321,0.054,1002.079
0.19,1.645,18.794,8.74,3.155,0.017,1.321,0.057,1002.048
0.2,1.838,19.799,8.735,3.153,0.017,1.321,0.06,1001.996
0.21,2.041,20.795,8.73,3.152,0.017,1.32,0.063,1001.907
0.22,2.254,21.782,8.725,3.15,0.017,1.32,0.066,1001.756
0.23,2.477,22.761,8.72,3.149,0.017,1.32,0.068,1001.577
0.24,2.709,23.732,8.715,3.148,0.017,1.32,0.071,1001.374
0.25,2.952,24.695,8.71,3.146,0.017,1.319,0.074,1001.146
0.26,3.203,25.649,8.705,3.145,0.017,1.319,0.077,1000.895
0.27,3.465,26.596,8.7,3.143,0.017,1.319,0.079,1000.621
0.28,3.735,27.533,8.695,3.142,0.017,1.318,0.082,1000.326
0.29,4.015,28.463,8.691,3.141,0.017,1.318,0.085,1000.011
0.3,4.304,29.384,8.686,3.139,0.017,1.318,0.087,999.676
0.31,4.603,30.297,8.682,3.138,0.017,1.318,0.09,999.323
0.32,4.91,31.201,8.677,3.137,0.017,1.317,0.093,998.952
0.33,5.227,32.096,8.672,3.135,0.017,1.317,0.095,998.563
